40000 100000
1 38889 17796
1 16089 104
1 23173 38528
1 35273 3664
1 7413 28302
1 23180 10645
1 15603 35727
1 18863 28286
1 17370 16628
1 27158 27843
1 24542 24745
1 6287 3872
1 13266 39968
1 23788 1784
1 31843 681
1 1944 11063
1 5075 35250
1 234 19056
1 15974 5926
1 3294 1869
1 24294 11060
1 14866 28158
1 15703 9545
1 23454 4952
1 19479 11276
1 18978 29055
1 35738 7784
1 5272 294
1 17345 30960
1 33145 9997
1 16846 7751
1 23118 8125
1 33358 4816
1 30273 26807
1 36425 38567
1 10328 34886
1 34407 10824
1 7040 15589
1 39809 18712
1 25904 30401
1 32229 18914
1 36857 14266
1 13234 10162
1 32200 13712
1 21717 14405
1 19831 14835
1 26257 9387
1 21264 18267
1 35332 29177
1 18668 17041
1 26710 39523
1 28426 4583
1 27256 3464
1 11441 32797
1 3335 33829
1 15461 20716
1 9428 2364
1 31339 3088
1 39837 35536
1 37410 4359
1 6371 18367
1 13575 27357
1 3423 23774
1 38284 25891
1 4163 24726
1 34214 161
1 28708 17613
1 22703 3829
1 27172 32792
1 29785 28084
1 22289 24989
1 8048 25744
1 13516 31478
1 30900 37211
1 39011 14916
1 15159 13550
1 25169 14647
1 25699 13605
1 33025 9090
1 20207 12048
1 8563 34750
1 31693 1227
1 18968 416
1 8814 11258
1 30748 4532
1 27363 9939
1 968 22851
1 237 28074
1 19617 19072
1 30096 2408
1 21693 24715
1 22129 23010
1 27728 19557
1 30696 10363
1 24359 9421
1 33591 38331
1 24603 38300
1 6932 17687
1 29394 14340
1 2339 6406
1 1910 38472
1 1042 10757
1 13487 9392
1 32434 4083
1 36519 11619
1 9864 8551
1 4233 18153
1 22016 36536
1 21329 22602
1 30632 26608
1 1981 10343
1 2028 25378
1 27096 27978
1 10078 18794
1 25639 6486
1 32396 18577
1 34706 25748
1 13104 22963
1 37100 4748
1 27325 35195
1 28103 38344
1 13691 16882
1 7713 27948
1 1795 37611
1 25564 32134
1 12841 16490
1 6875 33367
1 37691 15806
1 7110 28493
1 22492 26233
1 15535 22745
1 39544 30852
1 11796 16922
1 18410 31882
1 20400 15121
1 26736 6829
1 31031 6996
1 23789 18320
1 3763 23006
1 904 30358
1 31882 6193
1 17430 5367
1 25021 22239
1 30739 3350
1 23111 34677
1 18087 12673
1 28535 26912
1 18235 1021
1 33294 16356
1 38471 28130
1 11983 10767
1 17758 38926
1 21826 32885
1 24844 34488
1 39944 5089
1 14657 17782
1 35284 15311
1 9666 1134
1 39484 11114
1 28311 11784
1 16068 19861
1 2708 35213
1 36851 25933
1 30406 15864
1 6458 14289
1 16978 31676
1 27024 28037
1 34136 33154
1 27353 38077
1 36076 23982
1 392 26245
1 16381 32787
1 29451 34555
1 3835 5477
1 10987 662
1 11812 31547
1 2703 38050
1 28449 29943
1 6114 32766
1 19353 36826
1 8528 15132
1 15420 21212
1 12945 499
1 29440 3772
1 14918 17775
1 18933 20795
1 25819 8373
1 38013 24329
1 1818 12002
1 14909 25054
1 4732 33358
1 30001 189
1 14233 20606
1 25814 32380
1 19231 275
1 15285 27596
1 24640 28905
1 2325 16588
1 2367 25054
1 31812 28619
1 17365 22054
1 5967 24549
1 14768 18642
1 27413 39902
1 16041 7208
1 17492 39402
1 12879 30541
1 19564 16910
1 28779 3567
1 35207 148
1 34660 16908
1 9985 4129
1 14531 12582
1 20506 21896
1 27892 11612
1 10343 15664
1 37944 4063
1 1352 9438
1 23282 3225
1 26825 20726
1 19087 7174
1 39314 28417
1 26606 19538
1 34161 18427
1 29630 37675
1 15489 28510
1 13170 12860
1 4983 17693
1 12161 2957
1 4648 13801
1 22121 23064
1 2211 22917
1 22536 31221
1 19423 33718
1 36040 9555
1 39292 6622
1 34738 32648
1 32963 13800
1 19183 14316
1 26297 34948
1 30298 25483
1 23125 9810
1 19011 21274
1 9349 17950
1 27617 21317
1 1775 32809
1 25063 37541
1 16001 38287
1 21355 6583
1 6436 36743
1 10444 38239
1 23151 14155
1 19390 20982
1 25328 2698
1 23462 295
1 12764 1052
1 15355 12227
1 15012 21299
1 20931 23988
1 36417 8660
1 10962 31149
1 26112 31425
1 23917 11078
1 19932 36091
1 418 29617
1 20662 10037
1 9485 9336
1 22409 8256
1 5615 19867
1 18117 38605
1 34805 5923
1 15916 4542
1 36598 2638
1 32255 33760
1 19712 16435
1 20682 11947
1 11665 28943
1 24096 35975
1 2620 3915
1 10318 4913
1 31333 6618
1 22875 17168
1 11716 30890
1 21097 30513
1 28683 10353
1 39082 36192
1 13952 28951
1 16877 32646
1 9242 662
1 2336 13229
1 31057 13290
1 23023 20120
1 6081 34146
1 32407 11260
1 22983 24023
1 28922 20574
1 7067 3626
1 24698 19740
1 35700 9025
1 20774 18249
1 13096 20405
1 17139 24111
1 13093 13725
1 33866 37730
1 39392 30561
1 20870 18883
1 25313 37079
1 38759 12039
1 13232 7913
1 10394 29097
1 17722 21069
1 5440 38553
1 31022 6352
1 10688 18133
1 11573 31942
1 13721 442
1 9393 37134
1 16776 4409
1 5594 21239
1 18821 36298
1 26969 12882
1 13973 23993
1 22948 29269
1 11831 27108
1 9991 730
1 3375 13177
1 18133 3278
1 14365 23803
1 38805 5741
1 3757 22611
1 2362 19033
1 2953 7665
1 30361 33920
1 14573 36527
1 28899 28966
1 6126 39426
1 8906 30288
1 10982 12417
1 39117 14230
1 4874 9078
1 38722 3510
1 6883 33629
1 30280 444
1 24550 39672
1 35285 25056
1 22238 35208
1 11566 33430
1 14175 3998
1 23558 1207
1 28206 28723
1 27528 38751
1 30933 28708
1 1972 37174
1 6253 34585
1 26034 15258
1 3068 23980
1 1795 3089
1 23775 26890
1 25691 22497
1 1675 15391
1 6430 12516
1 25882 34104
1 35364 39318
1 32814 5360
1 34406 2871
1 12518 28922
1 12146 5187
1 7695 35103
1 17094 22828
1 4502 20442
1 38963 29848
1 5888 25988
1 25320 7053
1 35065 33861
1 30599 22016
1 31342 32378
1 22617 35621
1 15096 15523
1 25082 35175
1 33215 18353
1 21293 32875
1 38595 38768
1 2887 34787
1 15535 25349
1 17648 4504
1 1079 27662
1 32132 8887
1 23001 13801
1 22470 5793
1 37892 35384
1 21744 5582
1 26667 24493
1 34141 11515
1 16483 24221
1 8567 37896
1 23357 4159
1 18712 1997
1 15071 33091
1 11025 33596
1 5698 11044
1 38096 24844
1 2755 6197
1 2171 38944
1 7793 39466
1 31919 30305
1 15762 20455
1 17981 3723
1 15593 37780
1 32193 8938
1 26365 33166
1 31484 30799
1 30803 20853
1 26052 30886
1 36553 29028
1 16780 34143
1 39798 1398
1 23814 11281
1 31720 35338
1 20440 34117
1 9279 39473
1 27988 6290
1 29315 19171
1 28041 21203
1 22129 36990
1 27800 4821
1 10608 38176
1 10536 1402
1 18577 25307
1 31953 14442
1 15651 3808
1 10720 2144
1 21878 1986
1 21197 2240
1 15102 6291
1 14559 28461
1 26591 18158
1 20483 26894
1 38071 24740
1 21491 6220
1 26719 1875
1 8596 38031
1 28571 30642
1 16721 6890
1 21631 8830
1 284 9458
1 38483 30393
1 38358 25050
1 28732 13936
1 10796 34506
1 21966 3621
1 2332 17592
1 34379 27770
1 37153 32678
1 7088 20238
1 8897 31474
1 11376 11083
1 30904 38506
1 5672 10095
1 4807 38182
1 28930 26574
1 21749 10463
1 28619 26429
1 39309 16705
1 16940 4166
1 21638 20732
1 39606 38638
1 10683 2228
1 25522 15692
1 21315 11101
1 11695 22417
1 33803 14076
1 24483 32206
1 36609 8002
1 9398 3630
1 6409 14540
1 11455 14340
1 35502 13932
1 21559 33707
1 37946 30516
1 29258 7992
1 10638 13566
1 26919 38658
1 38121 22080
1 39137 2912
1 18155 662
1 12656 15747
1 16177 25190
1 16226 21514
1 9575 403
1 24723 31966
1 9410 18834
1 1673 38271
1 24217 24383
1 21658 11539
1 12400 37214
1 15250 1984
1 18660 36068
1 7102 8490
1 28699 17030
1 22250 36864
1 3474 5603
1 34898 19855
1 19362 22494
1 3412 24300
1 30876 36472
1 22694 31015
1 32984 36944
1 2769 22258
1 17584 38545
1 27393 15952
1 545 25526
1 2675 13700
1 7355 31768
1 38787 8386
1 35824 5658
1 16487 1865
1 16827 39429
1 4836 24100
1 9908 34029
1 3629 21894
1 30182 6940
1 17338 38557
1 28150 35284
1 18 3799
1 39855 18298
1 16749 23575
1 26105 10777
1 37139 24960
1 12467 34244
1 12326 6365
1 31492 35502
1 36604 6994
1 21449 28006
1 5693 21669
1 24590 2896
1 30393 27406
1 5065 11539
1 2496 28432
1 16982 10040
1 38451 5608
1 27709 22907
1 7019 7729
1 17540 31161
1 10918 6475
1 5167 14985
1 19652 15012
1 6656 11715
1 19688 37624
1 11098 25713
1 20918 3803
1 27387 6465
1 27430 800
1 7887 10491
1 11023 31283
1 10360 13176
1 12988 13905
1 13111 39698
1 25159 38401
1 28792 13999
1 32893 8596
1 20896 23023
1 1898 8486
1 7970 6458
1 33930 33396
1 38357 25585
1 35163 9675
1 11171 35876
1 38664 14932
1 17344 12268
1 3146 22241
1 8703 16345
1 23010 39638
1 583 33689
1 24160 31311
1 14268 21137
1 35506 21347
1 35847 9119
1 38200 30684
1 25871 5262
1 122 31840
1 29271 24727
1 16554 32734
1 32600 25824
1 12467 4113
1 24771 33024
1 27316 19761
1 15194 6042
1 6941 4542
1 11924 4768
1 12281 19023
1 30521 14476
1 12819 5411
1 4699 22913
1 33770 12060
1 25647 27295
1 3454 38191
1 28948 8505
1 4999 2191
1 27343 11107
1 30817 21522
1 28337 11116
1 6759 8440
1 37125 5621
1 6874 38654
1 5791 39526
1 19712 38371
1 4706 36334
1 15506 6044
1 6993 20990
1 9650 25843
1 25027 3660
1 36912 27116
1 32382 6792
1 24954 17528
1 8035 16905
1 4393 29770
1 35919 11613
1 145 447
1 39360 35846
1 24699 17241
1 1416 6645
1 26246 35142
1 18960 27459
1 21222 11398
1 6326 13714
1 37086 32455
1 24906 22753
1 6337 16371
1 12066 8202
1 16575 17336
1 35604 23251
1 55 28218
1 20490 29619
1 37257 2171
1 20581 35438
1 8145 22649
1 13094 9000
1 32795 3128
1 4372 5978
1 18902 30394
1 32295 3094
1 35478 27750
1 34889 21773
1 19118 25343
1 27727 16069
1 29534 12214
1 4210 16875
1 7681 2751
1 24325 3767
1 27454 15538
1 29643 20830
1 36879 38301
1 13690 16404
1 11432 27281
1 39313 12471
1 37746 3690
1 8321 5257
1 19879 6621
1 25615 38496
1 29999 1313
1 24566 30993
1 2554 31006
1 17418 3200
1 2618 31506
1 16680 5425
1 19741 20611
1 5004 3356
1 14385 6576
1 37790 14183
1 6229 36818
1 16124 15281
1 11904 31460
1 17508 18837
1 38280 15778
1 6465 18274
1 7424 28833
1 35145 12184
1 12066 37649
1 4731 32307
1 18569 22128
1 37308 7147
1 15278 8622
1 22911 1123
1 37233 37764
1 33359 12321
1 27127 2180
1 38766 34966
1 12314 21818
1 39099 16797
1 35454 6483
1 21425 1855
1 4074 25537
1 19553 10822
1 22369 34912
1 16644 31232
1 9104 8823
1 12748 23320
1 150 37239
1 26640 32790
1 37071 23654
1 36142 10114
1 12900 8311
1 3492 18261
1 1140 14970
1 22475 4089
1 36799 26214
1 6737 35390
1 39766 29230
1 34981 5008
1 13028 1956
1 20345 4666
1 26506 7946
1 15234 33132
1 17513 11507
1 2779 39451
1 36513 15350
1 5696 21150
1 39656 26027
1 5875 1921
1 2685 35525
1 12026 23516
1 2982 4239
1 13211 22790
1 20972 22554
1 9158 32121
1 36167 26055
1 36262 11598
1 34815 25351
1 35358 18717
1 22676 29259
1 3452 10902
1 12616 19289
1 11317 35738
1 24352 1048
1 21487 23663
1 856 18745
1 33201 21157
1 11861 22723
1 25350 21516
1 13630 27825
1 38917 4996
1 13538 34440
1 31298 6821
1 27288 15206
1 972 5446
1 11244 12235
1 1842 26912
1 26488 26363
1 22107 6890
1 27795 38614
1 24913 33720
1 10176 7854
1 14109 12565
1 34822 39898
1 37812 17756
1 29715 1488
1 13257 6258
1 24157 25527
1 35767 21032
1 1237 16154
1 32599 611
1 14381 24750
1 37420 32243
1 20594 24956
1 33553 31753
1 23894 26148
1 24129 27997
1 3209 17065
1 38208 2962
1 6851 5113
1 331 32004
1 16859 23625
1 21920 3309
1 1952 482
1 8391 11416
1 1212 19658
1 38744 10914
1 16144 37391
1 36023 3355
1 21369 10015
1 33943 30154
1 165 642
1 7760 31903
1 30480 22659
1 33361 26418
1 22528 15591
1 15166 38495
1 33112 4913
1 169 34883
1 1286 26178
1 18023 37204
1 37914 9771
1 16720 22449
1 29582 19178
1 27839 23098
1 28569 36283
1 9278 8689
1 12475 36851
1 30136 13239
1 31329 14488
1 20369 35112
1 27979 38537
1 31757 27896
1 6134 38255
1 10370 32094
1 10638 15473
1 38229 20786
1 25116 17079
1 2750 33596
1 9012 25311
1 27789 4012
1 9076 39573
1 31110 4249
1 31305 16104
1 37763 312
1 10775 25364
1 20272 2759
1 27212 17200
1 39950 24027
1 27689 23271
1 12745 12381
1 13279 14424
1 9430 18982
1 36808 16219
1 29444 22953
1 2125 39748
1 14299 1568
1 17490 16791
1 33553 11225
1 8468 18305
1 89 11129
1 7921 35367
1 14006 33961
1 18688 33513
1 16521 197
1 28900 9259
1 24490 11340
1 22974 4311
1 4664 37038
1 29229 22349
1 9218 19718
1 2915 22538
1 31824 19913
1 5180 11263
1 33834 39746
1 25400 27192
1 7630 26844
1 23420 31491
1 23593 31866
1 15345 22709
1 8802 35374
1 21012 11211
1 8588 26019
1 35041 19323
1 22805 18894
1 29363 30849
1 13138 6516
1 19764 33334
1 36947 30754
1 9899 21335
1 25291 27969
1 10303 30049
1 36067 6134
1 25639 10441
1 35996 8270
1 11989 1437
1 27333 35299
1 36227 16455
1 27913 32033
1 29231 13463
1 25759 38880
1 3289 19702
1 433 27307
1 27031 921
1 25322 23508
1 15549 10721
1 23078 24521
1 20838 13452
1 16206 13845
1 28081 4785
1 13089 13766
1 14064 21534
1 20126 34700
1 10081 19443
1 19811 31210
1 21784 9896
1 23498 16632
1 39197 1907
1 3541 7242
1 9765 29464
1 19032 1500
1 24488 31141
1 4065 28428
1 27704 6447
1 11692 5318
1 24007 16362
1 15542 12999
1 37390 15882
1 5296 1031
1 27063 20004
1 1399 13584
1 3840 23238
1 4387 10610
1 14374 15445
1 35671 29982
1 11109 5756
1 18400 13423
1 3014 26725
1 22720 34424
1 494 630
1 12665 16178
1 7689 10032
1 22859 7272
1 32830 25330
1 39315 25028
1 11312 12223
1 8101 23237
1 39864 30037
1 24279 1713
1 3422 20442
1 21903 24821
1 2136 31293
1 13725 20895
1 11530 25545
1 16418 17869
1 330 19774
1 38453 12727
1 29417 17260
1 23180 13484
1 17156 28184
1 19864 7848
1 12477 8413
1 20444 33303
1 29378 18934
1 26813 28588
1 35246 29753
1 20347 26888
1 19574 17467
1 22797 68
1 36989 4048
1 11771 13765
1 26919 21793
1 5601 629
1 5539 38231
1 10496 9506
1 36546 5006
1 28253 38609
1 3820 25931
1 19658 3365
1 34245 1169
1 13323 30999
1 35599 8484
1 32658 10331
1 15674 5459
1 10503 36066
1 22104 15233
1 28155 27890
1 3475 27025
1 14638 15714
1 25952 38630
1 10818 31258
1 20496 12483
1 15060 20221
1 11666 36091
1 5000 4494
1 12814 29700
1 5153 39607
1 37250 26561
1 33764 21175
1 38782 10798
1 16549 12162
1 17182 14674
1 29740 3961
1 2590 3897
1 30039 5168
1 10182 17291
1 5779 18190
1 16596 32590
1 38174 25361
1 4055 6263
1 37918 13604
1 11978 12554
1 27678 11497
1 7319 27114
1 19437 10736
1 21960 8511
1 4756 24955
1 16335 5772
1 2901 13145
1 20999 11917
1 33850 15442
1 30882 36037
1 16788 31922
1 26807 16890
1 29142 5928
1 14471 29868
1 35399 17185
1 23477 37445
1 20386 27808
1 10520 32239
1 6499 19136
1 29458 6899
1 33066 11597
1 19332 9719
1 10527 16608
1 12145 15862
1 11589 18191
1 8312 19860
1 36787 2502
1 30311 5411
1 10765 20173
1 34887 2287
1 1497 26426
1 10830 14713
1 29746 28226
1 6057 27780
1 4466 2261
1 20703 20405
1 33583 22150
1 27659 35262
1 36974 10809
1 30704 3095
1 1121 30818
1 17876 13323
1 15560 33529
1 17419 21598
1 20806 12165
1 12864 28648
1 13439 21236
1 18072 8843
1 1852 19086
1 11571 28581
1 3774 16436
1 16556 13214
1 16542 13627
1 19702 480
1 29108 15572
1 39131 5514
1 4194 17159
1 20592 27780
1 31124 36980
1 7049 2625
1 5691 237
1 21210 23762
1 13363 3825
1 28368 31095
1 16204 20814
1 18688 6976
1 38875 28803
1 10208 21580
1 22405 22592
1 18226 35538
1 33216 9372
1 18740 19224
1 26178 32625
1 34579 8645
1 13303 27673
1 31848 12097
1 29417 26056
1 27567 39972
1 35809 5585
1 20554 17547
1 38545 20053
1 38504 31911
1 38034 14976
1 28260 9353
1 27292 21964
1 23157 28658
1 21364 5368
1 24603 12631
1 34543 11026
1 36253 39757
1 2560 24538
1 2244 18732
1 4056 15129
1 2636 38509
1 31861 29209
1 12139 21042
1 36430 16576
1 4616 9032
1 17955 10884
1 29808 13591
1 34184 17162
1 31896 6335
1 28055 21996
1 5519 29227
1 18346 16653
1 25705 33282
1 36021 24854
1 17217 30850
1 14761 22413
1 21942 88
1 30972 35033
1 37857 25227
1 32155 24812
1 8169 10431
1 37930 38866
1 4770 15746
1 29834 11186
1 10188 20898
1 6351 30307
1 5829 28344
1 18795 18051
1 13021 32978
1 3238 1488
1 15059 2426
1 12972 38233
1 25679 18061
1 4764 22916
1 25977 13896
1 27793 9884
1 7104 5122
1 4261 9137
1 3658 5601
1 26596 22083
1 3905 10318
1 36214 19994
1 348 15581
1 10135 4394
1 19128 21397
1 38780 24988
1 39 15628
1 38026 8957
1 28737 10616
1 4405 29336
1 33896 2656
1 31412 26489
1 18378 1726
1 3446 16748
1 14615 16479
1 642 21576
1 3364 29523
1 6316 6946
1 35534 26075
1 3323 7792
1 9062 19087
1 16318 29323
1 9567 36509
1 8022 23221
1 29034 8396
1 12371 19041
1 33036 25437
1 4473 35702
1 8121 12489
1 3816 29886
1 21845 2965
1 28386 38853
1 8444 36586
1 31198 7138
1 5918 2408
1 9307 22896
1 29517 21029
1 12039 31639
1 17175 7655
1 9855 37085
1 13960 4489
1 31484 386
1 38875 20995
1 14361 21479
1 39780 20369
1 25803 29402
1 6286 17301
1 32775 9965
1 17422 39933
1 9223 37621
1 1645 20590
1 6006 35624
1 16194 9109
1 23559 26247
1 39347 30282
1 39344 11890
1 22924 27130
1 39344 38251
1 1274 39384
1 4544 6721
1 3587 16309
1 25388 17414
1 29440 8658
1 8036 39250
1 39243 20437
1 33533 38670
1 6488 10212
1 37885 38799
1 37273 5412
1 21069 34166
1 738 17419
1 13844 3802
1 1720 15955
1 6111 8509
1 3470 17472
1 33878 37898
1 33157 14191
1 25089 15755
1 17529 4079
1 21740 34920
1 21833 33358
1 27405 22373
1 36777 7423
1 9357 22224
1 12420 39682
1 23479 20725
1 30096 39459
1 28071 6127
1 21923 17313
1 38738 14254
1 18178 8928
1 28218 34787
1 31766 39280
1 16721 28922
1 32312 13682
1 695 31561
1 10001 19560
1 25818 2633
1 32006 24670
1 22575 11511
1 27983 995
1 38518 14577
1 19290 24052
1 27840 10173
1 8121 10957
1 36780 10440
1 19960 10277
1 21379 23289
1 24447 21923
1 14496 37817
1 9030 29825
1 11633 26466
1 14352 15187
1 25151 26699
1 33219 33459
1 7944 33038
1 15320 5202
1 13454 38280
1 31723 19762
1 22263 10722
1 14056 2461
1 31618 12341
1 34060 15444
1 15388 8830
1 1426 22764
1 3026 35199
1 6309 7671
1 2748 2388
1 25182 31295
1 3254 4882
1 13816 37580
1 34606 19817
1 32878 37246
1 21353 16070
1 11360 21456
1 10740 2734
1 30433 9564
1 27720 2307
1 24685 37361
1 35354 19923
1 3820 6244
1 1884 21397
1 3682 23711
1 38204 30071
1 26323 27984
1 33308 21946
1 17794 28972
1 1371 24401
1 26714 38224
1 21235 23435
1 15758 39233
1 4433 24510
1 16803 15837
1 37428 23587
1 29824 14849
1 2179 10758
1 17895 37770
1 13465 17477
1 33167 36509
1 11040 15657
1 21606 11582
1 12532 8473
1 7410 6000
1 21848 7633
1 10385 4228
1 39245 31619
1 7077 38680
1 25536 13538
1 18800 15112
1 31445 1051
1 35388 3648
1 5586 24575
1 28978 14681
1 36049 38313
1 27177 38553
1 23159 38709
1 2092 26979
1 17070 25555
1 32402 33844
1 471 14975
1 19112 718
1 6530 23551
1 14876 35154
1 27123 5008
1 28826 12132
1 30300 5385
1 14708 2655
1 31850 31705
1 16346 309
1 39984 33735
1 8587 11064
1 31917 28076
1 24617 15152
1 19550 2969
1 27855 12171
1 35436 19602
1 30819 11847
1 24206 3485
1 21777 25927
1 38824 5976
1 20271 15281
1 34681 17146
1 2886 16478
1 3240 11283
1 25867 13533
1 17526 2103
1 21724 15658
1 7763 39084
1 24316 17355
1 24613 39550
1 10756 17764
1 15699 28352
1 12617 27638
1 7098 22568
1 39979 10645
1 30318 9634
1 35374 2308
1 30341 27114
1 3804 5093
1 5587 22485
1 5255 25932
1 31240 39049
1 2848 9217
1 1359 10197
1 4188 24411
1 23939 23831
1 20047 30336
1 23795 10631
1 36586 2828
1 36650 6985
1 8850 39113
1 31240 3399
1 24012 18809
1 13421 24639
1 14404 16396
1 28153 33467
1 27372 39124
1 33515 33255
1 29230 6598
1 11764 14944
1 18342 20793
1 21405 21019
1 33909 28578
1 33098 11365
1 23420 5775
1 37798 3145
1 32818 24344
1 17762 28700
1 11548 9887
1 23374 35281
1 21408 38313
1 3471 8043
1 11744 36344
1 28487 20682
1 5615 2443
1 843 12747
1 27356 5716
1 14801 13903
1 27204 31845
1 28805 38775
1 30542 16448
1 12881 24511
1 14000 23369
1 28312 1918
1 32726 18140
1 28552 1589
1 19007 12641
1 38261 4710
1 4301 36113
1 12331 30698
1 10754 4611
1 6097 17556
1 38816 35877
1 29023 7512
1 11054 39050
1 14995 17289
1 18197 37176
1 15156 17989
1 24123 17571
1 6310 9202
1 16562 8541
1 15537 21457
1 26402 24861
1 36998 28842
1 39513 32122
1 8560 39496
1 11181 22012
1 24169 21084
1 34937 35390
1 12786 6954
1 5238 21594
1 36162 22339
1 35005 9279
1 29976 37431
1 31989 13620
1 27466 26831
1 15739 24515
1 5291 1
1 12074 5579
1 24813 3840
1 37744 4152
1 22753 6415
1 675 23771
1 3306 35756
1 12134 20553
1 10882 37189
1 3028 25833
1 17227 17955
1 7146 12836
1 2545 22397
1 34164 25167
1 24530 25626
1 27301 17621
1 16235 11845
1 19624 38525
1 5544 35617
1 29854 11476
1 37618 1331
1 2911 4736
1 30581 7900
1 11698 18160
1 14573 24220
1 14431 23821
1 18243 32529
1 10364 6191
1 792 38740
1 28417 15683
1 32928 12228
1 20720 8433
1 30246 29538
1 34745 31478
1 14667 15037
1 24875 31458
1 3852 218
1 22659 13446
1 19663 700
1 5649 35287
1 37636 27154
1 21259 33949
1 26387 25363
1 13141 5954
1 30839 33416
1 22727 9967
1 6985 38590
1 30069 10182
1 9922 1311
1 20208 38326
1 25960 39423
1 20841 38738
1 35578 11731
1 4297 12222
1 35833 7813
1 36707 20483
1 23036 37409
1 17174 8993
1 2484 36554
1 31574 14195
1 119 18277
1 7810 17104
1 24331 23191
1 32099 4134
1 16313 12569
1 19066 23462
1 13086 13041
1 3262 6696
1 33874 36953
1 26230 6964
1 5165 1906
1 24175 16433
1 20819 35197
1 16715 35385
1 35439 2837
1 13328 29115
1 32428 17008
1 18070 31143
1 7405 25111
1 24422 17205
1 39575 13104
1 37869 16678
1 30617 25909
1 9538 18831
1 16180 31221
1 31258 32241
1 20121 28877
1 30517 26720
1 189 4095
1 24908 26940
1 26334 22190
1 5501 2059
1 21509 11215
1 12642 17422
1 3216 22338
1 19789 3479
1 8042 4641
1 36965 35484
1 4729 28506
1 18846 37834
1 25444 6734
1 38805 18716
1 10527 10779
1 29636 22012
1 36667 12074
1 27916 12560
1 24967 14718
1 20671 2916
1 29315 4824
1 15104 19869
1 29844 23004
1 34319 36643
1 27966 610
1 34846 30963
1 35244 32977
1 20380 7700
1 38835 35283
1 30631 21613
1 26717 18857
1 5236 656
1 30743 32017
1 15010 19170
1 8376 29901
1 21030 28272
1 15129 24888
1 5292 18269
1 32358 30789
1 28346 25240
1 6899 38551
1 39848 11445
1 25149 14161
1 19113 7790
1 747 5114
1 21795 29997
1 37129 25905
1 30413 10224
1 37886 7586
1 29642 27445
1 33429 24399
1 20021 36531
1 6011 34198
1 33362 19982
1 3910 7422
1 39884 20280
1 25700 32857
1 20000 32359
1 3949 37150
1 7253 6188
1 18949 10777
1 35639 24383
1 2678 23041
1 18178 27009
1 1863 28418
1 1665 22405
1 12914 18588
1 28917 8018
1 39588 15
1 36169 22054
1 8154 23991
1 34439 13713
1 22528 27870
1 28846 23747
1 18965 26825
1 16912 7836
1 23620 4311
1 35634 16740
1 18467 24147
1 34888 16791
1 231 14528
1 17406 4017
1 20148 9998
1 7877 14031
1 8339 7140
1 34905 36567
1 5988 20237
1 21317 39191
1 33522 4782
1 11663 12888
1 4293 5070
1 29918 23006
1 28268 27018
1 34307 25526
1 38378 19193
1 35475 26250
1 25912 32394
1 30296 17508
1 32229 35762
1 6923 5329
1 26999 14535
1 24037 4012
1 14072 34789
1 38462 23609
1 18045 19347
1 25720 29407
1 29415 1840
1 32350 38330
1 261 17400
1 25440 13963
1 19009 8895
1 11518 29537
1 1217 38676
1 4480 37955
1 4175 34963
1 12834 28886
1 14225 2610
1 35127 32242
1 29558 2405
1 24862 31809
1 21357 25029
1 11890 24503
1 32876 6057
1 27603 32798
1 22728 21576
1 36493 28129
1 23156 32475
1 3728 27470
1 223 18127
1 9278 25066
1 20881 5740
1 30110 25071
1 1341 13466
1 17679 27633
1 39973 29772
1 8960 30759
1 11842 19617
1 17515 10755
1 24744 22425
1 24361 15464
1 35539 38164
1 11611 11728
1 31392 27888
1 2109 32379
1 36735 33188
1 26721 5623
1 39679 8447
1 7661 13593
1 31234 39324
1 2012 23767
1 13288 25131
1 7716 2650
1 29721 38465
1 30071 25387
1 37165 20495
1 29649 26900
1 15968 21070
1 9766 25075
1 32754 3161
1 31977 35125
1 6556 28574
1 13683 31854
1 20539 19902
1 2070 19566
1 1166 9028
1 17611 19501
1 59 32801
1 10986 15193
1 22147 36541
1 22049 19727
1 35399 34707
1 32715 8327
1 34793 39322
1 10127 14859
1 1897 33381
1 13446 12109
1 16155 24823
1 5388 38080
1 29062 26583
1 22047 19371
1 26224 21043
1 12196 39204
1 9014 10214
1 32514 32243
1 1162 9215
1 15701 15902
1 12096 29386
1 34061 32272
1 33772 33929
1 26697 29437
1 542 5368
1 2470 23069
1 3141 36543
1 14076 17055
1 22066 21782
1 8925 15081
1 31671 25038
1 15404 26259
1 27989 12261
1 26171 16434
1 23297 22871
1 13450 33348
1 24914 14536
1 2249 500
1 32611 2887
1 18967 30653
1 14301 14521
1 36361 22676
1 30235 17950
1 14087 33816
1 25503 18807
1 33389 20957
1 25896 8091
1 4801 34414
1 18237 1457
1 30434 22753
1 37503 19163
1 27885 4116
1 4397 27888
1 35693 9835
1 5933 9461
1 18429 28509
1 26837 10730
1 29511 10774
1 7430 22023
1 20515 12625
1 34826 11918
1 7794 6220
1 37500 4189
1 8268 29738
1 27175 27250
1 4045 35932
1 1119 1194
1 1011 1864
1 27690 35734
1 34150 18243
1 19210 23067
1 32221 22103
1 10404 21369
1 27515 24226
1 8534 25920
1 17498 29734
1 9390 9122
1 13649 25559
1 14054 14763
1 2100 39607
1 33632 38572
1 11915 947
1 27895 38774
1 23697 25520
1 864 37944
1 18851 28774
1 17907 30008
1 31313 1645
1 34871 34993
1 12438 37062
1 39521 5618
1 30894 9444
1 1918 18433
